SITE ID,PLACE,SITE NAME,COUNTY,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3080,"Morro Bay State Park, East Shore",,San Luis Obispo,,,,,,,,,,,,,,,,,,0,0,0
3095,"N. Santa Rosa, San Luis Obispo",,San Luis Obispo,,,,,,,300,350,100,0,0,75,0,12,220,,27,,55,0
3215,"Nacimiento, Grover Beach",,San Luis Obispo,,,,,,,,,,,,,,,,,,32,12,365
3096,"Nipomo, S. Oakglen",,San Luis Obispo,,,,,,,160,0,,,,,,,,,,,,
3082,"Oceano Campground, Oceano",,San Luis Obispo,75,9850,8000,7500,4400,10811,7406,2725,700,2600,1500,2470,1420,2656,4708,3198,6366,5612,7709,6783
3043,"Pecho Rd., Los Osos (Pecho & Rosin Dr.)",,San Luis Obispo,15000,4100,1500,100,2000,380,3000,3000,2000,2000,500,880,720,3689,3275,2342,4966,7333,9292,5142
3065,"Pike, Halcyon",,San Luis Obispo,,,,,450,0,470,5503,1800,1900,455,175,296,2944,199,179,35,0,1,0
3061,"Pismo Beach, Maintenance Yard Complex",,San Luis Obispo,700,0,0,4,0,0,0,0,0,,0,0,,,,,0,,,0
3060,"Pismo Beach, North Beach Campground",,San Luis Obispo,100000,115100,60000,26100,33000,30160,38438,25575,24840,22050,16900,23050,17200,21286,18000,28086,30293,29804,28073,19755
3098,"Price & Solar, Pismo",,San Luis Obispo,,,,,40,184,50,210,20,150,38,26,0,162,20,238,0,87,212,8
3045,"Sebastian's Store, San Simeon",,San Luis Obispo,,,,,,,,,,,,,,,,,,,,1649
3081,Spooner's Cove,,San Luis Obispo,,,,,,,,,,,,,,,,,,17,195,634
3054,"Sweet Springs, Los Osos",,San Luis Obispo,925,0,100,1000,0,230,500,400,0,36,6,120,10,4,8,104,650,1166,672,820
3051,"Toro Creek, South of Cayucos",,San Luis Obispo,,,,5000,0,,,,,,,,,,492,,3200,0,1699,110
3070,"Villa Creek, North of Cayucos",,San Luis Obispo,,,,13500,2500,350,3300,1200,6000,3775,1060,400,500,2150,270,,0,1517,171,825
3072,Washburn Grove,,San Luis Obispo,,,,,,,,,,,,,,,,,,2,0,0
3071,Whitaker Flat,,San Luis Obispo,,,,,,,,,,,,,,,,,,1518,594,1140
3167,Woodlands,"Village Monarch Habitat, Nipomo Mesa",San Luis Obispo,,,,,,,,,,,,,164,50,1075,3100,5150,4255,3200,3500
2727,"Agua Creek, Hollister Ranch",,Santa Barbara,,,,,,,,,,,,,,,,,,,140,8
3187,Arroyo Hondo Preserve,,Santa Barbara,,,,,,,,,,,,,,,,6,,,0,465
2734,"Arroyo Quemado,",Near Refugio State Beach,Santa Barbara,,,3000,,,,,,,,,,,,,3,,,3,5
2765,Atascadero,"Creek, Santa Barbara",Santa Barbara,20000,,4000,8912,5470,0,,,,,,,,,,4,8675,6735,3795,2630
2745,Bell Canyon,,Santa Barbara,,,,,,,,,,,,,,,,,,,2,6
2817,Bella Vista Park,,Santa Barbara,,,,,,,,,,,,,,,,,,,3,0
3174,"Boys and Girls Club, Goleta",,Santa Barbara,,,,,,,17,,5,,,,,,,,,,0,140
3174,Brown Road,,Santa Barbara,,,,,,,,,,,,,,,,,,,,53
2726,Bulito Creek/Parcel 70,,Santa Barbara,,,,,,,,,,,,,,,,,,,25,16
2791,"Butterfly Lane, Montecito",,Santa Barbara,,,,0,,,,,,,,,,,,,,5,4,0
2775,"Butterfly Lane & High Road, Montecito",,Santa Barbara,,,,,,,,,,,,,,,,,,,,2
2691,California Boulevard,,Santa Barbara,,,,,,,,,,,,,,,,,,,,0
2736,Canada Refugio,,Santa Barbara,,,,,,,,,,,,,,,,,0,,,2
2801,Carpinteria Business,"Park, Carpinteria",Santa Barbara,,,,5,13,,,,,,,,,,,,,,,4
2799,"Carpinteria Creek, Carpinteria",,Santa Barbara,50000,9000,13000,22500,1800,4500,6150,3200,6300,4250,30,,,,1800,1500,1480,5000,4110,7830
2757,Cathedral Oaks and Glen Annie,,Santa Barbara,,,,,,,,,,,,,,,,,,,,2
2738,Coral Canyon,,Santa Barbara,,,,,,,,,,,,,,,,,461,,,637
2792,Crane School,,Santa Barbara,,,,,,,,,,,,,,,,,,,,0
2755,"Devereux School, Santa Barbara",,Santa Barbara,,,,7320,2306,350,475,,800,,,,,570,1850,298,0,1023,1307,0
2770,"Douglas Family Preserve,",Santa Barbara,Santa Barbara,,,,,,,,,60,50,,,,,84,1,,7,4,0
2743,"Eagle Canyon, Near Naples",,Santa Barbara,,,1430,4230,9000,40,,5,,,,,,,,,,,,
2750,"Ellwood Central and West, Goleta",,Santa Barbara,35000,,2200,30,,,,,0,10000,,8700,,0,,0,1205,3645,1525,1920
2752,Ellwood East,,Santa Barbara,,,,,,,,,,,,,,,,,,855,3065,1200
2754,"Ellwood, Hollister & Coronado","Dr., Goleta",Santa Barbara,750,200,37,6,,4,,,25,600,,45,,318,33,0,0,245,780,680
2751,"Ellwood Main, Goleta",,Santa Barbara,25000,20000,25000,58000,35000,4500,18400,16680,54700,19000,11000,12000,6500,27600,21800,17150,2355,3543,6610,2120
2749,"Ellwood North, Goleta",,Santa Barbara,,,2060,11650,82,6,3160,4550,1400,1800,,131,1500,3,,0,,470,379,1580
2753,Ellwood / Ocean Meadows,,Santa Barbara,,,,,,,,,,,,,,,,,,0,1,0
2747,Ellwood / Sandpiper,Golf Course,Santa Barbara,,,55,10,,3,,,775,3000,,2800,,8309,8100,655,4470,7783,7823,4934
2748,Ellwood / The Grove Apartments,,Santa Barbara,,,,,,,,,,,,,,,,,,,,2
2739,El Capitan,,Santa Barbara,,,,,,,,,,,,,,,,,,,10,2
2740,El Capitan Ranch Road,,Santa Barbara,,,,,,,,,,,,,,,,,,,,156
2813,"El Refugio Ranch, Near Refugio State Beach",,Santa Barbara,,,12500,,180,,,,,,,,,,,,19,,,29
2776,Ennisbrook,,Santa Barbara,,,,,,,,,,,,,,,,,,,,4
2756,Evergreen Open Space,,Santa Barbara,,,,,,,,,,,,,,,24,3,6,1,0,16
3208,Gaviota State Beach Hill,,Santa Barbara,,,,,,,,,,,,,,,,19,6,,2,0
2731,"Gaviota State Beach, Gaviota",,Santa Barbara,,,500,,0,,,,,,,,,,24,6397,8950,6430,1597,1765
2829,"Hale Park, Montecito",,Santa Barbara,,7,,3,,,,,,,,,,,,,,,17,0
2789,"Hidden Valley Park, Santa Barbara",,Santa Barbara,,,,0,,,,,,,,,,,,,,6,2,2
2772,Honda Valley / SBCC,,Santa Barbara,,,,20,100,350,36,110,570,975,,54,,2850,6100,463,,1428,1475,825
2783,"Lambert Road, Summerland",,Santa Barbara,,,,2,,,,,,,,,,,,50,,,,5845
3178,"Las Armas, Goleta",,Santa Barbara,,,0,,,,,,,,,,,,,,,,,0
2741,Las Varas Ranch,,Santa Barbara,,,,,,,,,,,,,,,,,446,,102,518
2771,"La Mesa Park, Santa Barbara",,Santa Barbara,,,,,,,,,85,400,,,,775,25,55,,8,19,0
2766,"La Posada Hill, Goleta",,Santa Barbara,,,0,0,,,,,6,,,,,,0,,,4,0,
3225,La Ramada Rd and Vala Dr.,,Santa Barbara,,,,,,,,,,,,,,,,,,,19,3
2767,Llano & Mariposa Ln / Santa Barbara,,Santa Barbara,,,,,,,,,25,,,,,,,,,1,0,
2794,"Lookout Park, Summerland",,Santa Barbara,,,,2,,,,,,0,,,,,,0,,,,0
2758,Los Carneros and Calle Real,,Santa Barbara,,,,,,,,,,,,,,7,465,128,5,2,67,0
2761,Los Carneros East Grove,,Santa Barbara,,,,,,,,,,,,,,,,,,,0,0
2760,"Los Carneros Lake, Goleta",,Santa Barbara,,,58,0,,9,,,570,,,,,27,15,,,14,0,0
2788,"Maria Ygnacio Creek, Goleta",,Santa Barbara,,,530,,,40,0,,1036,15,,,,59,35,5,0,2,0,10
3216,Maria Ygnacio / Ramada Rd.,,Santa Barbara,,,,,,,,,,35,,,,,,,98,850,528,280
3176,"More Mesa, Goleta",,Santa Barbara,,,200,3,,,,,,,,,,,,,,,0,0
3177,"More Ranch Road, Near Goleta Beach",,Santa Barbara,,,,4500,,30,,,,,,,,,,,7,,0,31
2773,"Music Academy,",Montecito,Santa Barbara,,2,50,0,17,3,,,,,,,,,,,,0,1,0
2800,"Oil & Gas Buffer Zone, Carpinteria",,Santa Barbara,8000,2000,800,,,,,100,,3000,3050,4000,,,,2200,0,,,5990
2778,"Ortega Hill, Montecito",and Summerland,Santa Barbara,,,,,,,5800,6050,5800,4500,,1500,,,,650,1165,3,3,0
2793,Ortega Hill Grove,,Santa Barbara,,,,,,,,,,,,,,,,,,,,0
2796,Padaro Lane 1,,Santa Barbara,,,,,,,,,,,,,,,,,,,835,3500
3223,Padaro Lane 2,,Santa Barbara,,,,,,,,,,,,,,,,,,,3391,5740
3224,Padaro Lane 3,,Santa Barbara,,,,,,,,,,,,,,,,,,,3130,4630
2784,"Padaro Lane, Summerland",,Santa Barbara,55000,30000,4000,,5700,1525,1280,2900,0,,350,,,,,,,2065,,3
