year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2067,65.5466,59.0576,70.538,60.917,68.963,67.1666,61.1834,70.7054,63.0824,69.8234
2068,64.9868,59.1818,69.1142,61.0646,67.9046,67.7516,63.3974,71.6,65.9642,70.4102
2069,64.7384,58.946,70.4876,62.7674,68.7902,68.7038,62.7962,71.9096,66.0398,70.1708
2070,64.985,59.8406,67.8038,61.8332,67.2044,68.2718,62.2418,72.3272,64.5746,71.2022
2071,65.4746,62.006,68.5202,63.158,67.6472,67.9946,62.8952,72.2336,65.7896,69.5894
2072,65.84,61.9016,67.4564,63.1598,67.253,68.2088,63.0968,72.5648,63.995,71.0636
2073,65.336,58.1558,68.9378,62.8862,67.4528,67.9874,64.8878,72.2192,66.4412,71.348
2074,65.183,61.8818,68.6912,62.69,66.8516,68.2448,63.2012,73.2056,64.6232,72.2444
2075,65.2244,61.502,67.7498,62.8952,67.577,68.252,61.7522,72.9878,64.247,71.6234
2076,65.7464,61.1888,69.971,62.8466,68.0288,69.413,61.889,73.0184,65.6582,72.1184
2077,65.7644,61.9196,68.8892,63.5252,68.0234,68.9846,62.0006,73.283,65.6474,72.0842
2078,65.7446,60.647,68.7956,62.1302,68.477,69.215,63.302,73.2398,65.9174,71.6954
2079,65.4278,58.8398,70.2302,61.3976,68.738,69.2996,63.9032,72.5756,66.1604,71.7368
2080,65.2298,61.034,69.089,62.0546,67.6976,69.1664,64.0886,73.364,65.6888,72.6224
2081,65.4584,60.4652,68.7434,62.2778,67.8056,69.6182,62.5298,73.6088,66.1262,72.9446
2082,66.758,61.3598,69.7388,63.2372,68.6642,69.9098,63.6854,74.1182,66.6824,72.8006
2083,66.4592,61.5704,69.5642,62.9294,68.3366,69.5156,64.0904,72.1364,67.3898,71.843
2084,65.8778,60.7712,69.341,63.2534,68.6462,68.6678,61.7162,73.9094,66.2648,72.0716
2085,65.1092,62.4704,70.1492,63.3542,68.837,69.9836,64.2776,75.6842,65.2496,73.184
2086,64.9868,61.637,69.044,63.248,67.613,69.3608,64.769,74.5376,66.3278,72.8312
2087,65.2604,58.9784,69.98,61.9916,67.7138,69.7604,65.2154,77.0702,67.3466,74.1416
2088,64.9508,58.9892,67.955,61.808,67.6634,70.8134,64.2164,76.7336,67.0352,74.6942
2089,64.9238,60.9944,70.0808,62.7764,67.8956,70.6964,62.8394,75.0524,66.011,74.1776
2090,65.3396,60.4688,70.349,62.0258,68.702,70.7846,64.724,77.342,67.2224,72.8816
2091,65.0264,60.8936,68.0288,63.5918,67.136,70.799,66.5024,76.2548,67.5266,74.3126
2092,66.3062,60.0152,70.9034,63.8636,68.5166,69.9926,64.3532,75.6554,66.5186,73.9364
2093,66.3602,62.24,68.5958,63.2552,68.2916,71.3066,66.281,75.6104,66.8876,74.0642
2094,66.074,61.0106,70.6154,62.7602,67.8398,71.1068,65.6708,77.1854,67.8488,75.6248
2095,65.183,62.4398,70.1852,62.9996,69.4814,70.583,64.6106,76.5086,67.5626,73.5188
2096,64.8554,61.367,71.06,61.8584,69.0656,71.141,65.2298,76.847,68.2754,74.8544
2097,66.2216,61.0736,69.1826,61.853,68.9144,71.7332,64.373,75.5438,67.721,74.7446
2098,65.984,60.314,69.7712,62.1356,68.0342,71.8232,64.5476,77.2106,67.0082,75.0326
2099,65.813,63.4064,69.575,63.7376,68.6264,70.7414,66.3818,77.5562,68.531,75.5726
